Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
06/12/14 08:00 PM	26.6	-0.017	0.013	0.099	0.010
06/13/14 12:00 AM	29.7	-0.016	0.017	0.099	0.010
06/13/14 04:00 AM	25.6	-0.021	0.016	0.101	0.010
06/13/14 08:00 AM	16.7	-0.025	0.012	0.100	0.009
06/13/14 12:00 PM	13.8	-0.027	0.010	0.100	0.009
06/13/14 04:00 PM	17.1	-0.027	0.008	0.099	0.009
06/13/14 08:00 PM	23.8	-0.021	0.011	0.099	0.009
06/14/14 12:00 AM	22.6	-0.020	0.015	0.099	0.009
06/14/14 04:00 AM	16.2	-0.025	0.011	0.100	0.009
06/14/14 08:00 AM	8.3	-0.027	0.010	0.100	0.008
06/14/14 12:00 PM	4.9	-0.031	0.007	0.099	0.006
06/14/14 04:00 PM	8.4	-0.031	0.005	0.098	0.006
06/14/14 08:00 PM	14.1	-0.025	0.006	0.096	0.006
06/15/14 12:00 AM	17.7	-0.022	0.010	0.098	0.006
06/15/14 04:00 AM	15.0	-0.025	0.010	0.099	0.007
06/15/14 08:00 AM	6.2	-0.029	0.009	0.099	0.005
06/15/14 12:00 PM	3.3	-0.031	0.007	0.096	0.004
06/15/14 04:00 PM	9.7	-0.031	0.004	0.095	0.004
06/15/14 08:00 PM	20.0	-0.023	0.007	0.095	0.006
06/16/14 12:00 AM	20.0	-0.022	0.010	0.096	0.006
06/16/14 04:00 AM	14.3	-0.025	0.010	0.099	0.006
06/16/14 08:00 AM	6.5	-0.030	0.007	0.097	0.004
06/16/14 12:00 PM	3.5	-0.031	0.004	0.095	0.004
06/16/14 04:00 PM	9.2	-0.031	0.003	0.095	0.004
06/16/14 08:00 PM	15.4	-0.025	0.005	0.095	0.004
06/17/14 12:00 AM	14.2	-0.024	0.009	0.095	0.004
06/17/14 04:00 AM	7.6	-0.027	0.006	0.095	0.004
06/17/14 08:00 AM	5.5	-0.029	0.004	0.095	0.004
06/17/14 12:00 PM	4.6	-0.031	0.004	0.093	0.004
06/17/14 04:00 PM	4.6	-0.031	0.000	0.092	0.004
06/17/14 08:00 PM	10.4	-0.026	0.004	0.092	0.004
06/18/14 12:00 AM	13.0	-0.024	0.009	0.092	0.003
06/18/14 04:00 AM	6.7	-0.025	0.008	0.092	0.003
06/18/14 08:00 AM	-0.8	-0.030	0.006	0.092	0.001
06/18/14 12:00 PM	-2.7	-0.031	0.004	0.092	-0.001
