"quad","year","totCover"
"Q33",2011,39.268064441642
"Q34",2011,119.203568673758
"Q37",2011,172.669409273597
"Q38",2011,23.1308129506835
"Q39",2011,121.029519994512
"Q4",2011,98.1434970804875
"Q40",2011,89.5836048474325
"Q41",2011,306.412409819408
"Q43",2011,125.126271819838
"Q44",2011,217.701001641274
"Q45",2011,305.919526407632
"Q46",2011,29.4479375105695
"Q47",2011,128.55814607229
"Q48",2011,204.905098005335
"Q49",2011,113.018079268097
"Q5",2011,204.666037150909
"Q50",2011,21.548314328677
"Q51",2011,132.882897852602
"Q52",2011,0.25
"Q53",2011,165.852507317411
"Q54",2011,109.39135154397
"Q55",2011,152.347084131294
"Q56",2011,340.036860019185
"Q57",2011,271.909729114694
"Q58",2011,21.2766742142935
"Q59",2011,70.792270993702
"Q6",2011,88.751428835969
"Q60",2011,116.14574946596
"Q61",2011,104.279796633915
"Q62",2011,149.757815077657
"Q1",2012,144.732874081772
"Q19",2012,126.582244191964
"Q2",2012,60.206393804151
"Q20",2012,75.5941847699775
"Q21",2012,4.17145270889399
"Q22",2012,194.048468133137
"Q23",2012,234.89525814685
"Q24",2012,39.0372348300375
"Q25",2012,21.013131767731
"Q26",2012,185.354708017922
"Q27",2012,213.981048242769
"Q28",2012,249.799753491401
"Q3",2012,102.26519398574
"Q31",2012,87.6021127407265
"Q33",2012,22.5618142282935
"Q34",2012,126.416954205974
"Q37",2012,114.7768508938
"Q38",2012,30.3297312764
"Q39",2012,69.8564296535995
"Q4",2012,74.8992256145849
"Q40",2012,166.083537850103
"Q41",2012,217.419648552478
"Q43",2012,118.049623978289
"Q44",2012,292.098185263824
"Q45",2012,376.098398067185
"Q46",2012,14.796174029492
"Q47",2012,241.599501182563
"Q48",2012,36.494259433868
"Q49",2012,74.7023368822575
"Q5",2012,255.829730067008
"Q50",2012,53.645755107934
"Q51",2012,6.67764294359899
"Q52",2012,1.25
"Q53",2012,198.753188589701
"Q54",2012,198.670245041797
"Q55",2012,56.8093683802115
"Q56",2012,301.951123694904
"Q57",2012,253.01687491059
"Q58",2012,46.5749847485365
"Q59",2012,129.791677979339
"Q6",2012,235.068152689411
"Q60",2012,46.2094675175515
"Q61",2012,179.448802311248
"Q62",2012,18.9710110727875
"Q1",2013,196.778258273455
"Q19",2013,141.524875949835
"Q2",2013,155.575401400829
"Q20",2013,112.961336009783
"Q21",2013,6.66162353162001
"Q22",2013,269.861775812203
"Q23",2013,149.471202045523
"Q24",2013,87.294211960953
"Q25",2013,62.613702184421
"Q26",2013,345.915419701752
"Q27",2013,324.849106083859
"Q28",2013,384.0532417236
"Q3",2013,188.226439917734
"Q31",2013,266.496028836539
"Q33",2013,13.001220257943
"Q34",2013,234.119001063012
"Q37",2013,213.031254403723
"Q38",2013,31.411706765935
"Q39",2013,171.441028465132
"Q4",2013,131.593336008307
"Q40",2013,405.49105925342
"Q41",2013,260.710436797728
"Q42",2013,0.25
"Q43",2013,244.735704968387
"Q44",2013,579.111784351104
"Q45",2013,723.274390516181
"Q46",2013,20.1860287184765
"Q47",2013,320.790351695359
"Q48",2013,9.90148558553399
"Q49",2013,1.25
"Q5",2013,321.621492431812
"Q50",2013,114.974107981562
"Q51",2013,12.173193385274
"Q53",2013,263.472433858235
"Q54",2013,429.969231532211
"Q55",2013,34.6135658193565
"Q56",2013,354.579018710039
"Q57",2013,76.3625243273545
"Q59",2013,198.826323646929
"Q6",2013,190.679357372195
"Q60",2013,6.66678974452649
"Q61",2013,247.058679368091
