"year","month","TMEAN","TPPT","ndays_missing_ppt","n_days_missing_tmean"
"1947","09",58.1,1.6,0,0
"1947","10",49,0.7,0,0
"1947","11",25.9,0.9,0,0
"1947","12",22,0.3,0,0
"1948","01",19.2,0.1,0,0
"1948","02",22.6,0.4,0,0
"1948","03",25.4,1.1,0,0
"1948","04",41.4,0.6,0,0
"1948","05",51.8,1.8,0,0
"1948","06",61.9,2.9,0,0
"1948","07",67.8,0.2,0,0
"1948","08",67.1,0.9,0,1
"1948","09",59.2,0.9,0,0
"1948","10",47.6,0.2,0,0
"1948","11",25.4,0.6,0,0
"1948","12",15.2,1,0,0
"1949","01",7,0.9,0,0
"1949","02",16.5,1,0,0
"1949","03",32.5,0.2,0,0
"1949","04",48,0.4,0,0
"1949","05",54.1,3,0,0
"1949","06",59,1.7,0,0
"1949","07",69.1,0.8,0,0
"1949","08",70.2,0.4,0,0
"1949","09",59.7,0.4,2,0
"1949","10",39.1,1.2,0,0
"1949","11",38.1,0.8,0,0
"1949","12",19.5,0.7,0,0
"1950","01",12.5,0.9,0,0
"1950","02",23.4,0.7,0,0
"1950","03",27.2,1.2,0,0
"1950","04",40.6,0.6,0,0
"1950","05",47.9,0.6,0,0
"1950","06",58.2,2.1,0,0
"1950","07",66.1,0.4,0,0
"1950","08",66,0.7,0,0
"1950","09",56,2.1,0,1
"1950","10",48.4,0.7,0,0
"1950","11",33.8,0.1,0,0
"1950","12",27.4,0.9,0,0
"1951","01",16.1,0.4,0,1
"1951","02",22.9,0.5,0,0
"1951","03",24,0.2,0,0
"1951","04",43.7,0.7,0,0
"1951","05",52.5,1.2,0,0
"1951","06",55.2,0.4,0,0
"1951","07",69.1,1.3,0,0
"1951","08",64,2.2,0,0
"1951","09",57.4,0,0,0
"1951","10",41.9,1.3,0,0
"1951","11",29.1,0.3,0,0
"1951","12",15.3,1.4,0,0
"1952","01",15.2,1.2,0,0
"1952","02",16.1,1.5,0,0
"1952","03",22.3,1.2,0,0
"1952","04",40.9,0.2,0,0
"1952","05",53.2,0.8,0,0
"1952","06",60.6,1.8,0,0
"1952","07",65.9,0.6,0,0
"1952","08",67.2,1.4,0,0
"1952","09",61.1,0.1,0,0
"1952","10",50.1,0,0,0
"1952","11",25.7,0.9,0,0
"1952","12",22.4,1.2,0,0
"1953","01",27.2,0.6,0,0
"1953","02",22.1,0.6,0,0
"1953","03",31,0.3,0,0
"1953","04",38.4,1.1,0,0
"1953","05",46.4,2,0,0
"1953","06",56.9,2.2,0,0
"1953","07",71.6,0.3,0,0
"1953","08",67.8,0.1,0,0
"1953","09",61.4,0.1,0,0
"1953","10",49.4,0.2,0,0
"1953","11",37.3,0.3,0,0
"1953","12",19.9,0.7,0,0
"1954","01",22.4,0.2,0,0
"1954","02",30.1,0.6,0,0
"1954","03",28.7,1.2,0,0
"1954","04",44.4,0.9,0,0
"1954","05",54,0.8,0,0
"1954","06",56.6,2.4,0,0
"1954","07",71.6,0.4,0,0
"1954","08",65.9,0.7,0,0
"1954","09",58.4,0.4,0,0
"1954","10",44.7,0,0,0
"1954","11",38,1,0,0
"1954","12",21.2,0.6,0,0
"1955","01",12.2,0.8,0,0
"1955","02",15.8,0.6,0,0
"1955","03",20.1,0.2,0,0
"1955","04",36.2,0.7,0,0
"1955","05",50.3,1.8,0,0
"1955","06",57.6,1.9,0,0
"1955","07",67.3,0.6,0,0
"1955","08",69.7,1.2,0,0
"1955","09",58,0.2,0,0
"1955","10",46.2,0.5,0,0
"1955","11",26.1,0.7,0,0
"1955","12",24,2,0,0
"1956","01",24.6,1.5,0,0
"1956","02",14.4,0.4,0,0
"1956","03",27.7,0.1,0,0
"1956","04",44.1,1.8,0,0
"1956","05",54.4,0.7,0,0
"1956","06",62.7,0.9,0,0
"1956","07",70.2,0.6,0,0
"1956","08",65.6,0.1,0,0
"1956","09",58.1,0.5,0,0
"1956","10",44.3,2.1,0,0
"1956","11",27.6,0.4,0,0
"1956","12",21.9,0.2,0,0
"1957","01",12.6,0.8,0,0
"1957","02",25.1,0.5,0,0
"1957","03",31.8,1.2,0,0
"1957","04",40.8,1,0,0
"1957","05",52.2,4.9,0,0
"1957","06",58.7,1.2,0,0
"1957","07",68.8,0.5,0,0
"1957","08",67.6,1.1,0,0
"1957","09",58.2,0.1,0,0
"1957","10",45.3,0.9,0,0
"1957","11",26.6,0.6,0,0
"1957","12",23.5,0.8,0,0
"1958","01",22.1,0.4,0,0
"1958","02",30,1.2,0,1
"1958","03",28,1.3,4,0
"1958","04",38.9,0.8,0,0
"1958","05",58.6,0.8,0,0
"1958","06",62,1.8,0,0
"1958","07",66.9,1.4,0,0
"1958","08",70.5,0.2,0,0
"1958","09",58.1,1.2,0,0
"1958","10",48.9,0,0,0
"1958","11",30.9,0.1,0,0
"1958","12",26.1,0.4,2,0
"1959","01",21.4,0.9,0,0
"1959","02",23,2.3,2,0
"1959","03",27.6,0.2,0,0
"1959","04",43.2,0.2,0,0
"1959","05",46.4,2.7,0,0
"1959","06",61.4,2.9,0,0
"1959","07",68.4,0.3,0,0
"1959","08",66,0.6,0,0
"1959","09",54.7,1.1,0,0
"1959","10",44.7,0.3,0,0
"1959","11",28.1,0.1,0,0
"1959","12",24.1,1.4,0,0
"1960","01",16.3,1,0,0
"1960","02",15.2,0.9,0,0
"1960","03",28.8,0.7,0,0
"1960","04",43.1,0.8,0,0
"1960","05",48.3,1,0,0
"1960","06",62.4,0.8,0,0
"1960","07",72.6,0.1,0,0
"1960","08",65,0.7,0,0
"1960","09",60.2,0.3,0,0
"1960","10",44.6,1.1,0,0
"1960","11",30.9,1.6,0,0
"1960","12",22.1,0.5,0,0
"1961","01",22.9,0.2,0,0
"1961","02",28.1,1.3,0,0
"1961","03",31.7,1.1,0,0
"1961","04",40.3,0.4,0,0
"1961","05",51.8,1.6,0,0
"1961","06",66.4,1.1,0,0
"1961","07",71.6,0.4,0,6
"1961","08",68,0.8,0,10
"1961","09",50.1,2.4,0,0
"1961","10",41.9,2,0,0
"1961","11",29.6,0.8,0,0
"1961","12",17.3,0.8,0,0
"1962","01",11.6,0.4,0,0
"1962","02",23.1,2,0,0
"1962","03",24.9,0.8,0,0
"1962","04",44.5,0.4,0,0
"1962","05",50.2,3.7,0,0
"1962","06",58.7,1.5,0,0
"1962","07",65.8,2.3,0,0
"1962","08",63.7,1,0,0
"1962","09",58.6,0.6,0,0
"1962","10",49.5,0.1,0,0
"1962","11",35.4,0.5,0,0
"1962","12",25.8,0.3,0,0
"1963","01",11.6,0.3,0,0
"1963","02",33.4,0.4,0,0
"1963","03",33.8,0.4,0,0
"1963","04",38.9,1.9,0,0
"1963","05",52.9,1.9,0,0
"1963","06",56.1,2.8,0,0
"1963","07",68.4,0.8,0,0
"1963","08",68.5,0.3,1,0
"1963","09",61,2.1,0,0
"1963","10",51,0.4,0,0
"1963","11",31.9,1.7,0,0
"1963","12",18,0.4,0,1
"1964","01",14.1,0.4,0,0
"1964","02",13.8,0.2,0,0
"1964","03",20,0.6,0,0
"1964","04",38,1.4,0,0
"1964","05",49.9,2.5,0,0
"1964","06",54.7,3.5,0,0
"1964","07",69.8,0.7,0,0
"1964","08",64.5,1.1,0,0
