"quad","year","obs.ARTR","obs.HECO","obs.POSE","obs.PSSP","pred.ARTR","pred.HECO","pred.POSE","pred.PSSP","pred.trt.ARTR","pred.trt.HECO","pred.trt.POSE","pred.trt.PSSP","Group","Treatment","GroupCode"
"Q23",2011,0.564945145976625,2.85063737914029,6.53304399374297,1.78301765676542,NA,NA,NA,NA,NA,NA,NA,NA,"P10E1","Control",3
"Q23",2012,1.08168152524853,2.43171678501334,10.903028843102,2.3261649717867,0.82606585093297,2.68614435753625,9.07906355963208,1.71532416077933,0.82606585093297,2.68614435753625,9.07906355963208,1.71532416077933,"P10E1","Control",3
"Q23",2013,0.329839375041685,2.09405628080526,9.96545493721485,1.49471202045523,1.8750617791811,3.14938278027393,12.7745061789984,2.77999416337021,1.8750617791811,3.14938278027393,12.7745061789984,2.77999416337021,"P10E1","Control",3
"Q23",2014,1.0220288958885,4.52172962222007,5.22726114231949,3.29640385357783,0.691201459838931,3.28058484730004,6.51415945122001,1.69106713233586,0.691201459838931,3.28058484730004,6.51415945122001,1.69106713233586,"P10E1","Control",3
"Q23",2015,0,2.87011524879078,0.122415885,0.855579132244835,1.61991946504564,2.45101526695374,1.78007607398636,1.77078166487017,1.61991946504564,2.45101526695374,1.78007607398636,1.77078166487017,"P10E1","Control",3
"Q23",2016,0.005,2.3257834124325,0.173865383001,0.5109726564766,0,3.01966030029665,0.22579588970939,0.842056565134391,0,3.01966030029665,0.22579588970939,0.842056565134391,"P10E1","Control",3
"Q24",2011,13.660704878039,0.261793130679045,1.0737630086281,0.53752622138415,NA,NA,NA,NA,NA,NA,NA,NA,"P10E1","Control",3
"Q24",2012,12.4931322689537,0.25818129575274,1.4217416089527,0.361362822598265,13.7476663176083,0.298787498196714,1.87828013031669,0.667217943291774,13.7476663176083,0.298787498196714,1.87828013031669,0.667217943291774,"P10E1","Control",3
"Q24",2013,11.2118941479884,0.359651097565835,2.19653900987903,0.749510194832126,16.6009129739203,0.348679834185696,2.23605141198323,0.693646492982585,16.6009129739203,0.348679834185696,2.23605141198323,0.693646492982585,"P10E1","Control",3
"Q24",2014,15.6852952373333,0.83553052720485,3.36930703244007,1.34403718349137,12.8680287540013,0.570740753188159,1.8342736862445,1.06666000240974,12.8680287540013,0.570740753188159,1.8342736862445,1.06666000240974,"P10E1","Control",3
"Q24",2015,9.34727644213943,0.18985076105784,1.69737258953161,0.5121399556738,15.3382462728387,0.542374468615365,0.934436739802165,1.07651960201878,15.3382462728387,0.542374468615365,0.934436739802165,1.07651960201878,"P10E1","Control",3
"Q24",2016,16.2857191915043,0.7887181419042,0.5144193146947,0.4693105525488,10.7313965727734,0.315027566375337,1.2188419142149,0.624302879940952,10.7313965727734,0.315027566375337,1.2188419142149,0.624302879940952,"P10E1","Control",3
"Q25",2011,8.26095843706197,0,0,0.169670711588785,NA,NA,NA,NA,NA,NA,NA,NA,"P10E1","Control",3
"Q25",2012,18.1515995001082,0,0,0.21013131767731,8.83039279347117,0,0,0.220384648041654,8.83039279347117,0,0,0.220384648041654,"P10E1","Control",3
"Q25",2013,20.9048482134242,0,0,0.626137021844209,17.9515153595273,0,0,0.386680182407044,17.9515153595273,0,0,0.386680182407044,"P10E1","Control",3
"Q25",2014,14.7156062253597,0,0,0.765636059882035,22.0087397189518,0,0,0.81305054589301,22.0087397189518,0,0,0.81305054589301,"P10E1","Control",3
"Q25",2015,15.5592182092477,0,0,0.623795790045645,13.8105558733517,0,0,0.579380815334294,13.8105558733517,0,0,0.579380815334294,"P10E1","Control",3
"Q25",2016,26.69158976244,0,0,1.0729638407622,21.3951627969921,0,0,0.543366460730697,21.3951627969921,0,0,0.543366460730697,"P10E1","Control",3
"Q26",2011,39.3295061905215,0,0.792470466202585,2.12532543200365,NA,NA,NA,NA,NA,NA,NA,NA,"P10E1","Control",3
"Q26",2012,37.1474281822242,0,1.19323985769714,1.5419970018753,35.6066045398039,0,1.65336575582025,2.09279129013449,35.6066045398039,0,1.65336575582025,2.09279129013449,"P10E1","Control",3
"Q26",2013,27.4886479036183,0,2.29102529383021,3.12428776469504,32.8527798407808,0,2.00929135823062,2.09264316892888,32.8527798407808,0,2.00929135823062,2.09264316892888,"P10E1","Control",3
"Q26",2014,19.9429002600254,0,1.99058734644512,3.77097512022318,25.6291753395735,0,2.1464210276881,3.34364808853871,25.6291753395735,0,2.1464210276881,3.34364808853871,"P10E1","Control",3
"Q26",2015,22.1557014709465,0,2.85258296735012,3.78554437490724,17.9688837019847,0,1.0530200930037,2.39676250765399,17.9688837019847,0,1.0530200930037,2.39676250765399,"P10E1","Control",3
"Q26",2016,26.9426536646506,0,1.1716950157719,3.2838119739019,30.8624975629123,0,2.1629099785943,2.94525878574681,30.8624975629123,0,2.1629099785943,2.94525878574681,"P10E1","Control",3
"Q3",2011,44.6081907482806,0,0.57042849415421,1.79056560066345,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q3",2012,47.865524345107,0,0.935734022211864,1.00149571482261,39.7926325986083,0,1.41599029056658,1.58514906722156,39.7926325986083,0,1.41599029056658,1.58514906722156,"E1","Control",1
"Q3",2013,44.0198289976377,0,1.15323653293519,1.87976439917734,39.8629413064588,0,1.56770463349601,1.34409372086577,39.8629413064588,0,1.56770463349601,1.34409372086577,"E1","Control",1
"Q3",2014,39.9143704404034,0.10108134398476,0.86368673457814,2.20141407329604,37.8224126639499,0,1.0622799041472,1.95258694415988,37.8224126639499,0,1.0622799041472,1.95258694415988,"E1","Control",1
"Q3",2015,37.5659148575097,0,0.272328451871005,1.47689888493248,32.0173291416983,0.0763373960508146,0.375801446279252,1.3260528456724,32.0173291416983,0.0763373960508146,0.375801446279252,1.3260528456724,"E1","Control",1
"Q3",2016,55.8114101596626,0.0025,0.2396268108432,1.4046914497345,56.1203004001957,0,0.291830133174575,1.19603170520633,56.1203004001957,0,0.291830133174575,1.19603170520633,"E1","Control",1
"Q4",2011,28.8636585312484,0.189569886237285,2.11710717556393,0.981434970804875,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q4",2012,25.7070886175749,0.24372545785208,3.73637454619646,0.74899225614585,28.2099251049888,0.287360571595864,4.07699983638528,1.14473333181634,28.2099251049888,0.287360571595864,4.07699983638528,1.14473333181634,"E1","Control",1
"Q4",2013,25.2004383301203,0.271651706599775,4.45791260606042,1.31359994508307,26.8706021179289,0.356236669715616,5.56996522216526,1.18966488380389,26.8706021179289,0.356236669715616,5.56996522216526,1.18966488380389,"E1","Control",1
"Q4",2014,21.5399111059837,0.39577445665466,1.57431907581036,1.67055409561624,27.4881749026338,0.488474943135731,3.62281727390154,1.71095943461533,27.4881749026338,0.488474943135731,3.62281727390154,1.71095943461533,"E1","Control",1
"Q4",2015,22.6576964237267,0.26363303185654,1.36770748749497,1.5776848645219,21.9774476413847,0.297161013707026,0.815607428999515,1.26270406366191,21.9774476413847,0.297161013707026,0.815607428999515,1.26270406366191,"E1","Control",1
"Q4",2016,26.7387226289001,0.4417137559268,0.6606332314213,1.2166414978947,30.0079301553727,0.437612545222324,0.992327854254288,1.5043965461689,30.0079301553727,0.437612545222324,0.992327854254288,1.5043965461689,"E1","Control",1
"Q47",2011,0,0,2.44835187344707,1.0482953510359,NA,NA,NA,NA,NA,NA,NA,NA,"E1","No_shrub",1
"Q47",2012,0,0,3.71435369421009,2.38711296000474,0,0,4.07119602061994,1.21148348934601,0,0,4.91490850741218,1.49900543760017,"E1","No_shrub",1
"Q47",2013,0,0,5.75750219068372,3.07387039098647,0,0,5.26229127001942,3.30021913899747,0,0,6.36038157091438,4.12252184739164,"E1","No_shrub",1
"Q47",2014,0,0,4.6945183791209,5.8711778097508,0,0,4.19418935737604,3.40026827617287,0,0,5.07601630115399,4.25222001250373,"E1","No_shrub",1
"Q47",2015,0,0,4.31395057295096,4.44024792386932,0,0,1.57267009498716,3.02789064127751,0,0,1.89955494457097,3.79161620682296,"E1","No_shrub",1
"Q47",2016,0,0,4.6268837453864,3.3714111693301,0,0,2.52945339259908,2.91315297181021,0,0,3.06011933709043,3.64641702303068,"E1","No_shrub",1
"Q48",2011,6.70070642279762,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"E1","No_grass",1
"Q48",2012,8.74753889832204,0,0,0,7.50381713782427,0,0,0,8.47852160819829,0,0,0,"E1","No_grass",1
"Q48",2013,12.9387616226017,0,0,0,10.3585896080124,0,0,0,11.6924905802968,0,0,0,"E1","No_grass",1
"Q48",2014,13.1984944573789,0,0,0,14.2955443910021,0,0,0,16.0127328648013,0,0,0,"E1","No_grass",1
"Q48",2015,17.9355627903912,0,0,0,13.0190858409332,0,0,0,14.7115816515764,0,0,0,"E1","No_grass",1
"Q48",2016,17.7894038066606,0,0,0,25.5045018576376,0,0,0,28.6554988527239,0,0,0,"E1","No_grass",1
"Q49",2011,13.5525917078945,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"E1","No_grass",1
"Q49",2012,3.98182907835076,0,0,0,12.0081586862395,0,0,0,13.5911155618782,0,0,0,"E1","No_grass",1
"Q49",2013,NA,NA,NA,NA,5.53743020157181,0,0,0,6.19873165464977,0,0,0,"E1","No_grass",1
"Q49",2014,0.0025,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"E1","No_grass",1
