"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[19,4]",1.7481619,0.36967562331269,1.033,1.494,1.748,2.005,2.45802499504303,1.004943920124,990
"intcpt.yr[20,1]",-0.3356335046,0.574560444105621,-1.469175,-0.7236,-0.31665,0.0587575,0.7741625,1.00230279191487,830
"intcpt.yr[20,2]",1.50334109,0.558562168940753,0.393415,1.12975,1.502,1.87,2.62205,1.02464678921328,69
"intcpt.yr[20,3]",2.1537298,0.37448715810793,1.41994996563715,1.899,2.147,2.40124996096325,2.85707496163398,1.00129043350798,1900
"intcpt.yr[20,4]",1.37589325,0.37295693910779,0.63218499305561,1.12874991691898,1.37549990912395,1.638,2.094,1.02000190840874,210
"intcpt.yr[21,1]",-1.0633891285,0.587908486695706,-2.25115,-1.43525,-1.0555,-0.65505,0.0433899999999994,1.00558624944791,300
"intcpt.yr[21,2]",1.72490145,0.507731463386261,0.754288851815061,1.392,1.723,2.0502499542813,2.77012489013505,1.03898603729781,47
"intcpt.yr[21,3]",2.2187835,0.378077547526591,1.51897499197315,1.947,2.212,2.477,2.96004998353773,1.00918950889887,180
"intcpt.yr[21,4]",1.16914986,0.386486276230525,0.42452,0.9067,1.173,1.42425,1.929075,1.00343400222833,2000
"intcpt.yr[22,1]",-1.214291714,0.734398799483466,-2.697025,-1.71225,-1.214,-0.709025,0.239797499999998,1.0087827475656,180
"intcpt.yr[22,2]",1.9703449,0.564101790707253,0.862769979640605,1.58174994071771,1.95249993597951,2.33724995989448,3.12617480924229,1.04138834513855,52
"intcpt.yr[22,3]",3.806586,0.391821578883603,3.05592496408428,3.533,3.802,4.07424997699151,4.58709995751294,1.00135685237665,2000
"intcpt.yr[22,4]",1.9307449,0.422882437436146,1.13997498930303,1.63674994271019,1.9334999353504,2.21224995762871,2.76002499558529,1.00480622237139,350
"intcpt.yr[23,1]",-0.238440584975,1.11294609766865,-2.4392,-0.96285,-0.22795,0.544725,1.846125,1.00224878767777,860
"intcpt.yr[23,2]",1.94525239,0.702859308239905,0.564065,1.4775,1.9475,2.433,3.32205,1.01614232100526,97
"intcpt.yr[23,3]",3.5327125,0.51634995447031,2.56792495725392,3.18049988206929,3.511,3.863,4.61129962003926,1.00286417649826,640
"intcpt.yr[23,4]",0.64025610865,0.653585959814063,-0.681165,0.19375,0.6285,1.092,1.8881,1.00198787302823,1000
"intcpt.yr[24,1]",-1.12022154075,1.26936260630196,-3.8298,-1.93075,-1.054,-0.2246,1.18115,1.00072787479646,2000
"intcpt.yr[24,2]",2.3091053555,0.670965740478847,1.0138,1.862,2.305,2.73925,3.6182,1.01942295582845,93
"intcpt.yr[24,3]",3.140045,0.502322213104188,2.181,2.80074996652284,3.135,3.464,4.15202499706513,1.00165453018331,1300
