"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[4,3]",2.3336592,0.451741045524386,1.4379749915208,2.04,2.33249994640943,2.639,3.21402499620877,1.00094394764592,2000
"intcpt.yr[4,4]",1.96231228,0.498841669967385,0.9938675,1.6225,1.964,2.31,2.940225,1.02966056513109,60
"intcpt.yr[5,1]",0.733383415295,0.757757958776508,-0.766135,0.23715,0.72985,1.26525,2.18905,1.13487205893106,16
"intcpt.yr[5,2]",4.132636,0.593060724559895,3.01289993522383,3.72574997483503,4.11949996965651,4.506,5.30027472213667,1.00757571773331,210
"intcpt.yr[5,3]",3.0840055,0.417866426798173,2.26992495163743,2.795,3.087,3.35949988839839,3.91522474822579,1.00450847438609,2000
"intcpt.yr[5,4]",3.6738575,0.427076192535788,2.8319749956955,3.39124975112454,3.66849996592613,3.97224997640075,4.485,1.0790168408848,27
"intcpt.yr[6,1]",1.00300029,0.765098030047041,-0.5108375,0.512225,1.0245,1.52125,2.471025,1.12370801596477,17
"intcpt.yr[6,2]",3.855071,0.606382510329426,2.73597499554443,3.43874997273454,3.835,4.26224997800629,5.1,1.01236504153249,140
"intcpt.yr[6,3]",2.24762105,0.44725271938737,1.367,1.933,2.245999777382,2.54924996322929,3.11709993749265,1.00107533189504,2000
"intcpt.yr[6,4]",2.7812235,0.449623880999367,1.883,2.49174996237081,2.77449995494684,3.0892499696561,3.676,1.07409430372731,31
"intcpt.yr[7,1]",2.160486095,0.57298995829059,1.00462224434371,1.768,2.182,2.55474966986205,3.21104998482404,1.14468838401261,18
"intcpt.yr[7,2]",3.7057155,0.508974784469096,2.79194998253116,3.346,3.684,4.0342499767634,4.7340249974259,1.00268122759014,690
"intcpt.yr[7,3]",3.8626885,0.353239616381063,3.17184986150784,3.627,3.864,4.095,4.54409995711112,1.00491201363861,2000
"intcpt.yr[7,4]",2.22175635,0.401491449400418,1.42277430336098,1.95474995203172,2.226,2.4932499624035,3.03102499597992,1.07451262741906,29
"intcpt.yr[8,1]",2.67507685,0.6204139259227,1.45464834777278,2.272,2.69599981454005,3.096,3.85802499684152,1.17336468965957,15
"intcpt.yr[8,2]",5.5931135,0.494456732533721,4.65987493457019,5.256,5.57399991029781,5.924,6.58604999259941,1.00453116965328,370
"intcpt.yr[8,3]",2.472038,0.391870443869385,1.70897499286589,2.206,2.47749994954591,2.734,3.24704998499223,1.00142242666734,2000
"intcpt.yr[8,4]",5.653129,0.379850542419368,4.88389996005217,5.402,5.649,5.89924998410905,6.39814993146619,1.07042865242592,29
"intcpt.yr[9,1]",1.203983592,0.654396082566066,-0.16871,0.792025,1.227,1.65325,2.41205,1.13561467880163,16
"intcpt.yr[9,2]",4.1305915,0.529191303164954,3.14294998448284,3.764,4.11449996961964,4.47649991624167,5.23302499767132,1.00542516058103,340
"intcpt.yr[9,3]",2.893068,0.391478427318196,2.11792494816341,2.63,2.89049995675489,3.167,3.66107497005508,1.00056436010136,2000
"intcpt.yr[9,4]",2.59482,0.404777574777212,1.81097499326785,2.32549983869811,2.58849995170948,2.863,3.37907496755743,1.06716193913365,32
"intcpt.yr[10,1]",2.64519145,0.630179830327164,1.37987477868389,2.24099933025735,2.66049995301635,3.06724996943848,3.8510999493984,1.17490178136926,14
"intcpt.yr[10,2]",4.525803,0.550292232328861,3.50697499652416,4.144,4.51249997229917,4.90749992359672,5.59302499782119,1.0071685312811,240
"intcpt.yr[10,3]",3.1280505,0.390369824973543,2.38,2.855,3.12449963994237,3.38924997234173,3.93302499690174,1.00743325912228,2000
"intcpt.yr[10,4]",3.1139435,0.40279334719931,2.322,2.856,3.09699983855343,3.37524997222702,3.96612492323882,1.05936241282256,34
"intcpt.yr[11,1]",1.574450124,0.680506065983001,0.180485,1.142,1.5895,2.017,2.873,1.14461351412146,15
"intcpt.yr[11,2]",3.3927275,0.578918086882255,2.29854827350032,2.99374996868127,3.381,3.776,4.523,1.00671214524588,260
"intcpt.yr[11,3]",2.207511,0.410403986621862,1.3939249212029,1.929,2.215,2.48124905604944,3.0150499838379,1.00079550507622,2000
"intcpt.yr[11,4]",1.93552125,0.455378286268944,1.029,1.645,1.925,2.236,2.82904998277578,1.10922999749866,22
"intcpt.yr[12,1]",0.1567035655,0.746142252913018,-1.441275,-0.330475,0.20145,0.68635,1.497025,1.10178031343437,20
