"quad","year","SP_ID","x","y","GenID"
"Q24",2007,55,62.7290990557,58.5814629282,9
"Q24",2007,58,62.8126958167,64.015275972,10
"Q24",2007,60,71.5903939816,73.2109606113,11
"Q24",2007,63,67.9121209268,76.4712480817,12
"Q24",2007,66,67.74492607,82.7410331844,13
"Q24",2007,67,61.7259330299,85.4161411033,14
"Q24",2007,68,66.9925521069,86.0849183055,15
"Q24",2007,70,69.5840628199,88.2584434341,16
"Q26",2007,0,13.267219044,81.9218398559,1
"Q26",2007,2,4.7461556494,54.6241082629,2
"Q26",2007,5,79.5819071241,66.6852928692,3
"Q26",2007,7,94.4855065954,73.8862482607,4
"Q26",2007,15,49.1825798998,16.8180961776,5
"Q26",2007,38,43.8276091936,10.6792705462,6
"Q26",2007,47,39.4250441451,24.4372861561,7
"Q26",2007,53,50.0875066987,46.6564815729,8
"Q26",2007,57,12.1841736024,56.2183018634,9
"Q26",2007,60,9.5013604494,58.8323254032,10
"Q26",2007,68,53.6645901611,77.2680658488,11
"Q27",2011,0,66.0784347731,48.896627891,1
"Q27",2011,1,62.7653808668,47.6920240436,1
"Q27",2011,2,80.0729422103,40.0941408975,2
"Q27",2011,3,82.729153393,34.1811036158,3
"Q27",2011,4,99.0929554237,19.302030341,4
"Q27",2011,5,17.8398781905,17.5274118282,5
"Q27",2011,6,16.8509257781,27.7569115786,6
"Q27",2011,7,42.5946797225,61.7163580661,7
"Q27",2011,8,40.3501512135,65.5065825657,7
"Q27",2011,9,51.5960578583,62.4223820344,8
"Q27",2011,10,30.3507341394,82.8031797259,9
"Q27",2011,11,43.2535785412,88.848955426,10
"Q27",2011,12,33.2187006675,73.6318560366,11
"Q27",2011,13,49.5200290949,74.2149812043,12
"Q27",2011,14,91.8584017349,59.4658667931,13
"Q27",2011,15,88.1159955411,47.1155322604,14
"Q27",2011,16,59.8943261573,25.8713893056,15
"Q27",2011,17,45.3078765904,20.5032293888,16
"Q27",2011,18,1.0469321823,11.7881445641,17
"Q27",2011,19,0.6973702512,27.13939849,18
"Q27",2011,20,0.7681564012,42.7610694377,19
"Q27",2011,21,0.9935303172,47.6388049819,20
"Q27",2011,22,99.3933036099,4.7851922949,21
"Q27",2011,63,90.2163201028,0.6075940438,22
"Q27",2011,64,36.6116293435,0.9250947992,23
"Q27",2011,69,16.7149230561,20.2926333094,24
"Q27",2011,70,21.3186824508,21.509719019,25
"Q27",2011,75,22.7474351824,28.3888996778,26
"Q27",2011,84,27.2982777104,31.9343235182,27
"Q27",2011,90,99.3180051589,36.7497494899,28
"Q27",2011,91,98.6300867816,37.9668351995,29
"Q27",2011,95,78.8921310942,43.7347634372,30
"Q27",2011,97,59.4187588506,44.6872657031,31
"Q27",2011,100,53.7037470347,46.8568532338,32
"Q27",2011,101,53.5449968795,48.3914396987,33
"Q27",2011,102,90.74548788,48.6560235873,34
"Q27",2011,103,97.783418694,49.7672755635,35
"Q27",2011,104,53.8095807681,49.8201924302,36
"Q27",2011,105,92.0684068781,50.243526474,37
"Q27",2011,106,57.8841723856,51.2489451617,38
"Q27",2011,107,56.6141702542,51.4076957618,39
"Q27",2011,108,52.9099958138,52.3601975828,40
"Q27",2011,109,99.8250446789,52.8364484933,41
"Q27",2011,110,57.4608383418,52.9951986485,42
"Q27",2011,111,58.8895910734,52.9951986485,43
"Q27",2011,113,54.8679163225,53.9477009145,44
"Q27",2011,115,98.735920515,54.42395138,45
"Q27",2011,117,98.6300867816,56.1172884451,46
"Q27",2011,118,92.2271570333,57.2285404213,13
"Q27",2011,119,98.4184202046,58.1810422423,47
"Q27",2011,139,24.2820216473,90.1427732272,48
"Q27",2011,140,26.239942156,91.5715259588,49
"Q27",2011,142,2.4273948511,96.7044526858,50
"Q27",2011,144,3.9619808711,97.1277871745,51
"Q27",2011,145,5.496567336,97.4982043516,52
"Q28",2011,14,93.8939520446,99.0933023817,1
"Q28",2011,15,42.2255295449,50.1583859683,2
"Q28",2011,16,50.856277838,25.2934429836,3
"Q28",2011,17,97.417835257,0.8390669139,4
"Q28",2011,18,25.6270323328,63.9436164969,5
"Q28",2011,19,3.4067737306,62.5353544929,6
"Q28",2011,33,92.9388589755,53.7406434151,7
"Q28",2011,34,14.2606330293,3.3770292775,8
"Q28",2011,44,16.1577924796,4.2550006259,8
"Q28",2011,45,14.8789701289,5.1369469212,8
"Q28",2011,50,9.9400708749,8.7970238245,9
"Q28",2011,54,74.4544368182,12.324808561,10
"Q28",2011,55,57.3887771155,13.1626573191,11
"Q28",2011,57,43.3217357068,14.6178684839,12
"Q28",2011,58,68.986369787,15.0588416316,13
"Q28",2011,60,77.5853459442,16.2494689079,14
"Q28",2011,65,70.7502623777,30.1401219473,15
"Q28",2011,67,98.0024006794,30.8456789836,16
"Q28",2011,69,23.6984321925,34.9908261268,17
"Q28",2011,76,49.6717476986,49.322451869,18
"Q28",2011,77,94.959685738,51.1745386443,19
"Q3",2007,3,40.0806701944,79.559153442,1
"Q3",2007,4,42.0438499584,99.1798209841,2
"Q3",2007,5,33.8926223592,73.5100530575,3
"Q3",2007,6,40.0277395624,57.9458339035,4
"Q3",2007,10,11.6347095733,39.1791262196,5
"Q3",2007,13,54.5289826018,10.2535062503,6
"Q3",2007,16,80.3529650186,74.7615886148,7
