"quad","year","totCover"
"Q4",2012,397.711567489787
"Q40",2012,46.674341159352
"Q41",2012,57.3389798745835
"Q42",2012,1.99239764761
"Q43",2012,191.962523452046
"Q44",2012,336.512158531842
"Q45",2012,0.75
"Q46",2012,8.64478567037549
"Q47",2012,379.281358405225
"Q48",2012,18.1924601577435
"Q49",2012,7.40870609099151
"Q5",2012,21.526055751421
"Q50",2012,9.04352146600903
"Q51",2012,42.4816490510155
"Q52",2012,550.622157773838
"Q53",2012,34.9655861592925
"Q54",2012,457.139106427784
"Q56",2012,0.25
"Q58",2012,10.507861520583
"Q59",2012,0.5
"Q6",2012,467.474539712703
"Q60",2012,12.111779151717
"Q61",2012,17.6934641158715
"Q62",2012,7.48004394997051
"Q1",2013,136.89979273431
"Q19",2013,191.93375986379
"Q2",2013,470.108434373071
"Q20",2013,412.327748079637
"Q21",2013,228.028562904215
"Q22",2013,417.065451678568
"Q23",2013,1046.64600478133
"Q24",2013,261.357863038362
"Q26",2013,229.102529383021
"Q27",2013,253.090167080969
"Q28",2013,67.9309920644735
"Q3",2013,120.947018718136
"Q31",2013,5.759007399822
"Q32",2013,146.269494649826
"Q33",2013,527.270608630611
"Q37",2013,6.2871135643625
"Q38",2013,0.25
"Q39",2013,367.950035937722
"Q4",2013,477.016231442146
"Q40",2013,85.369555715345
"Q41",2013,42.536455122954
"Q42",2013,13.5545226083655
"Q43",2013,66.8965551782545
"Q44",2013,448.796304754483
"Q45",2013,0.25
"Q46",2013,24.2476695913165
"Q47",2013,576.250219068372
"Q48",2013,6.26066884989248
"Q49",2013,3.99999999999999
"Q5",2013,67.26705133295
"Q50",2013,23.976162528042
"Q51",2013,8.80000994032849
"Q52",2013,966.748797769601
"Q53",2013,35.112016809413
"Q54",2013,566.26391610137
"Q56",2013,0.25
"Q58",2013,10.576904231081
"Q59",2013,0.749999999999998
"Q6",2013,527.829937202352
"Q60",2013,25.325038888502
"Q61",2013,21.2581885627885
"Q62",2013,0.625224
"Q1",2014,59.4623384771915
"Q19",2014,285.413210893855
"Q2",2014,260.597263245204
"Q20",2014,464.239570328415
"Q21",2014,118.282435650297
"Q22",2014,373.16334028066
"Q23",2014,563.79926380122
"Q24",2014,393.177086784226
"Q26",2014,199.058734644512
"Q27",2014,125.60632418522
"Q28",2014,41.376260774803
"Q3",2014,86.618673457814
"Q32",2014,290.802164308835
"Q33",2014,392.874827604809
"Q37",2014,0.500000000000001
"Q38",2014,0.25
"Q39",2014,193.258361428512
"Q4",2014,176.378885776973
"Q40",2014,132.236477561009
"Q42",2014,4.51986383803699
"Q43",2014,109.015160306074
"Q44",2014,497.851590899019
"Q46",2014,17.3589629642875
"Q47",2014,469.45183791209
"Q48",2014,0.75
"Q49",2014,0.999999999999996
"Q5",2014,9.98920924006751
"Q51",2014,0.750000000000004
"Q52",2014,657.784530780348
"Q53",2014,23.790438838101
"Q54",2014,401.99730896098
"Q58",2014,0.25
