"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[13,2]",3.2713815,0.454896678875518,2.367,2.96949987368775,3.26499984686064,3.572,4.19219981416474,1.00260698140985,2000
"intcpt.yr[13,3]",3.7530395,0.316785173836989,3.14394998448778,3.53974997351258,3.745,3.957,4.38817486404716,1.00099638453188,2000
"intcpt.yr[13,4]",3.007744,0.332749764337758,2.372,2.77674996623345,3.011,3.2332499710074,3.66034934897495,1.05870520949198,34
"intcpt.yr[14,1]",1.81420935,0.519758547569411,0.789362465218866,1.472,1.81749993122421,2.186,2.83004998278186,1.00901483103682,220
"intcpt.yr[14,2]",2.31874175,0.431383339461227,1.528,2.014,2.307,2.61,3.21707496592471,1.00690939244759,2000
"intcpt.yr[14,3]",3.978776,0.310370189695025,3.37892496751949,3.76749990044688,3.985,4.193,4.60007497616512,1.00151266013125,2000
"intcpt.yr[14,4]",3.259762,0.309299045109507,2.67689992708553,3.035,3.26,3.481,3.85802499684152,1.07285297671693,29
"intcpt.yr[15,1]",-0.7913234155,0.612859156884113,-2.00415,-1.19925,-0.7676,-0.367075,0.3576075,1.00266696296774,690
"intcpt.yr[15,2]",2.33139105,0.446906187599987,1.4338998637665,2.033,2.326,2.62549985720632,3.20117481370536,1.00093653622862,2000
"intcpt.yr[15,3]",2.03532605,0.355673718727564,1.33297499085257,1.793,2.02399975296441,2.269,2.75602499557889,1.00073725575562,2000
"intcpt.yr[15,4]",1.6142279,0.36487314212821,0.911167477374626,1.37274993168984,1.61249992248062,1.862,2.33704997915167,1.07505849074713,29
"intcpt.yr[16,1]",-2.10523254,0.758917689339789,-3.65015,-2.60925,-2.0665,-1.565,-0.74432,1.0064623016159,1200
"intcpt.yr[16,2]",1.9839569,0.458345090999797,1.10589982326805,1.674,1.987,2.29324995912509,2.8980749621764,1.00904971641095,2000
"intcpt.yr[16,3]",1.45463535,0.362092601707744,0.758202254711948,1.21574992286595,1.438,1.684,2.18524944389455,1.00049789628829,2000
"intcpt.yr[16,4]",-0.0500319562,0.461597084501017,-1.008125,-0.34765,-0.040785,0.26345,0.82162,1.01897963995275,85
"intcpt.yr[17,1]",-1.2107096205,0.563292245886197,-2.334125,-1.589,-1.209,-0.82885,-0.107786750000001,1.00353953526439,680
"intcpt.yr[17,2]",2.14077445,0.431146389613593,1.27979938810596,1.857,2.154,2.429,2.96119973704309,1.00322420650204,550
"intcpt.yr[17,3]",1.67018515,0.356086289721103,0.999002313982951,1.435,1.672,1.90324995075078,2.36212487118393,1.00085545674795,2000
"intcpt.yr[17,4]",1.8617834,0.338596147718879,1.21787474916794,1.628,1.86049993281376,2.092,2.53604998078679,1.03730695406326,56
"intcpt.yr[18,1]",-2.35140537,0.790253995049256,-3.938225,-2.8675,-2.323,-1.8255,-0.853540000000001,1.00204951206947,970
"intcpt.yr[18,2]",2.25515845,0.447416351035794,1.39787478154019,1.95274995198258,2.25549994457992,2.55249985312357,3.13212490282003,1.00302341606547,2000
"intcpt.yr[18,3]",2.070671,0.351299374300883,1.38397499118981,1.835,2.0629997576345,2.299,2.77502499560915,1.00142871889702,1600
"intcpt.yr[18,4]",1.20002893,0.379260264619185,0.456165,0.953875,1.2055,1.44525,1.96115,1.04099914318567,43
"intcpt.yr[19,1]",1.84631835,0.532970352286584,0.816275,1.4855,1.8395,2.192,2.954,1.004160314751,510
"intcpt.yr[19,2]",3.183059,0.421090776721742,2.36479966945396,2.90674996774379,3.183,3.44724997280704,4.0411498915314,1.00061544769851,2000
"intcpt.yr[19,3]",2.263725,0.351268633956408,1.59397499235098,2.017,2.257,2.49449984970943,2.98402499591662,1.00122256324428,2000
"intcpt.yr[19,4]",1.65722835,0.365547689936739,0.941129898281397,1.41474993371826,1.664,1.90149980285638,2.35902499483506,1.03792874940861,49
"intcpt.yr[20,1]",-0.3323867263,0.5883785366975,-1.411175,-0.722775,-0.35015,0.060645,0.86579,1.00237122722693,800
"intcpt.yr[20,2]",1.47542851059,0.546988051524375,0.41355,1.11875,1.465,1.825,2.585575,1.00069882639256,2000
"intcpt.yr[20,3]",2.00505655,0.378756190765404,1.30197499063467,1.75,2.002,2.24849983327157,2.77707496052951,1.00228480351686,1500
"intcpt.yr[20,4]",1.27849236,0.39269747797896,0.5299575,1.00875,1.2695,1.54525,2.067,1.032841869902,51
"intcpt.yr[21,1]",-1.067481537,0.593026110843112,-2.251025,-1.45225,-1.0685,-0.666675,0.0892207499999999,1.00076222694743,2000
"intcpt.yr[21,2]",1.70421803,0.489731048334257,0.72472,1.36875,1.7025,2.035,2.65005,1.00100530841672,2000
"intcpt.yr[21,3]",2.02885395,0.369288593266778,1.33982455279905,1.77024952310293,2.027,2.265,2.76302499559008,1.00332412581968,530
"intcpt.yr[21,4]",1.07060925,0.393037972977088,0.32722,0.791175,1.069,1.335,1.886025,1.03346878847296,55
"intcpt.yr[22,1]",-1.2181827788,0.748539817960601,-2.762,-1.721,-1.22,-0.7276,0.24543,1.00336468143585,520
